Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
NEWBORN TOWN INC.,7.820HKD,1.4B,-30.12%,Social Media & Networking
NEWLINK TECHNOLOGY INC.,0.1900HKD,24.46M,-5.94%,Other IT Services & Consulting
NEWTON RESOURCES LTD,0.3150HKD,161M,3.28%,Metal Merchant Wholesale
"NEWTREND GROUP HOLDING CO., LTD.",4.830HKD,59.33M,-40.00%,Sugar & Artificial Sweeteners
NEXION TECHNOLOGIES LIMITED,0.0300HKD,3.63M,-6.25%,Other IT Services & Consulting
NEXTEER AUTOMOTIVE GROUP LIMITED,4.850HKD,1.68B,-24.34%,Automotive Systems
NGAI HING HONG COMPANY LIMITED,0.3250HKD,15.32M,-20.73%,Commodity Chemicals Wholesale
NICHE-TECH SEMICONDUCTOR MATERIALS LIMITED,0.1730HKD,16.93M,66.35%,Nonferrous Metal Processing
NIMBLE HOLDINGS COMPANY LIMITED,0.1540HKD,108M,-2.53%,Residential Real Estate Development
NINE DRAGONS PAPER (HOLDINGS) LIMITED,6.810HKD,4.24B,15.23%,Other Paper Packaging
NIRU GC,0.2020HKD,0,-,Gaming Machine Operators
NISSIN FOODS COMPANY LIMITED,7.100HKD,950M,-3.40%,Ready-Made Meals
NIU HOLDINGS LIMITED,0.1800HKD,3.32M,24.14%,Civil Engineers & Architects
NOBLE ENGINEERING GROUP HOLDINGS LIMITED,0.1340HKD,3.92M,-11.84%,Building Contractors
NOIZ GROUP LIMITED,0.0310HKD,4.19M,-69.90%,Forest Support & Services
"NONGFU SPRING CO., LTD.",41.96HKD,61.81B,-10.42%,Bottled Water & Ice
NORTH ASIA STRATEGIC HOLDINGS LIMITED,0.4450HKD,25.82M,-14.42%,Semiconductor Equipment Wholesale
NORTH MINING SHARES COMPANY LIMITED,0.0780HKD,140M,0.00%,Commodity Chemicals Wholesale
NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,0.3550HKD,42.36M,31.48%,Other Electrical Components & Equipment
NOVAUTEK TECHNOLOGIES GROUP LIMITED,0.1460HKD,56.93M,-33.03%,Other Real Estate Development & Operations
NUMANS HEALTH FOOD HOLDINGS COMPANY LIMITED,0.6400HKD,81.69M,3.23%,Special Foods & Wellbeing Products
"NUOBIKAN ARTIFICIAL INTELLIGENCE TECHNOLOGY (CHENGDU) CO., LTD.",14.96HKD,698M,-60.00%,Machine Learning & Artificial Intelligence (AI) Services
NVC INTERNATIONAL HOLDINGS LIMITED,0.6200HKD,40.15M,-4.62%,Lighting Equipment
OCEAN LINE PORT DEVELOPMENT LIMITED,0.3450HKD,35.23M,11.29%,Marine Cargo Handling Services
OCEAN ONE HOLDING LTD.,2.940HKD,103M,-12.76%,Food Wholesale
OCEAN STAR TECHNOLOGY GROUP LIMITED,0.0390HKD,6.44M,-.--%,Lingerie
OCI INTERNATIONAL HOLDINGS LIMITED,0.2900HKD,54.56M,-1.69%,Other Investment Management & Fund Opera
OCUMENSION THERAPEUTICS,5.960HKD,626M,-19.46%,Other Pharmaceuticals
OI WAH PAWNSHOP CREDIT HOLDINGS LIMITED,0.3050HKD,74.92M,12.96%,Other Consumer Lending
OKG TECHNOLOGY HOLDINGS LIMITED,0.1290HKD,87.06M,-28.33%,Other Construction & Engineering
OKURA HOLDINGS LIMITED,0.2040HKD,19.12M,10.87%,Vending Machine Providers
