Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
C-MER MEDICAL HOLDINGS LIMITED,1.100HKD,167M,-36.05%,"Hospitals, Clinics & Primary Care Services"
C.BANNER INTERNATIONAL HOLDINGS LIMITED,0.9900HKD,315M,39.44%,Footwear Retailers
CA CULTURAL TECHNOLOGY GROUP LIMITED,0.0510HKD,7.69M,-.--%,Amusement Parks and Zoos
CABBEEN FASHION LIMITED,1.300HKD,111M,-11.56%,Men's Clothing
CAFÉ DE CORAL HOLDINGS LIMITED,3.960HKD,290M,-19.51%,Other Restaurants & Bars
CAI CORP,0.3100HKD,86.18M,-11.43%,Other Investment Banking & Brokerage Services
"CALB GROUP CO., LTD.",29.60HKD,6.69B,17.83%,Batteries & Uninterruptable Power Supplies
CANBRIDGE PHARMACEUTICALS INC.,1.990HKD,151M,-22.27%,Specialty & Advanced Pharmaceuticals
CANGGANG RAILWAY LIMITED,0.5500HKD,270M,-32.93%,Railway Freight Operators
CANOPY SKYFIRE GROUP LIMITED,0.0770HKD,2.85M,-6.10%,Plastics
CANSINO BIOLOGICS INC.,28.06HKD,1.53B,-19.64%,Biopharmaceuticals
CAOCAO INC.,28.60HKD,2.12B,-4.67%,Taxi & Limousine
CAPINFO COMPANY LIMITED,2.630HKD,97.27M,-16.24%,Other IT Services & Consulting
CAPITAL ENVIRONMENT HOLDINGS LIMITED,0.0930HKD,170M,34.78%,"Waste Management, Disposal & Recycling Services"
CAPITAL ESTATE LIMITED,0.2160HKD,6.43M,13.09%,Other Investment Banking & Brokerage Services
CAPITAL FINANCE HOLDINGS LIMITED,15.49HKD,186M,50.39%,Other Consumer Lending
CAPITAL INDUSTRIAL FINANCIAL SERVICES GROUP LIMITED,0.1200HKD,60.55M,0.00%,Metal Merchant Wholesale
CAPITAL REALM FINANCIAL HOLDINGS GROUP LIMITED,0.2060HKD,6.55M,-25.09%,Other Holding Companies
CAPITAL VC LIMITED,0.1300HKD,14.94M,-15.03%,Other Investment Management & Fund Operators
CARMEN CENTURY INVESTMENT LIMITED,0.3350HKD,66.76M,-.--%,Other Holding Companies
CAROTE LTD,4.630HKD,325M,1.09%,"Other Appliances, Tools & Housewares"
CARPENTER TAN HOLDINGS LIMITED,7.120HKD,226M,-10.10%,Other Forest & Wood Products
CARRIANNA GROUP HOLDINGS COMPANY LIMITED,0.1180HKD,23.66M,-18.62%,"Other Hotels, Motels & Cruise Lines"
CARRY WEALTH HOLDINGS LIMITED,0.2360HKD,27.1M,6.31%,Other Apparel & Accessories
CARSGEN THERAPEUTICS HOLDINGS LIMITED,17.51HKD,1.2B,17.91%,Bio Therapeutic Drugs
CASABLANCA GROUP LIMITED,1.040HKD,34.26M,38.67%,Other Home Furnishings
CASH FINANCIAL SERVICES GROUP LIMITED,0.4150HKD,22.84M,-12.63%,Other Investment Banking & Brokerage Services
CATHAY GROUP HOLDINGS INC.,0.8100HKD,168M,-13.83%,"Movie, TV Production & Distribution"
CATHAY PACIFIC AIRWAYS LIMITED,12.60HKD,9.78B,1.37%,Other Airlines
CBK HOLDINGS LIMITED,0.6800HKD,9.72M,-.--%,Other Restaurants & Bars
CCIAM FUTURE ENERGY LIMITED,0.1910HKD,8.93M,-17.67%,Environmental Consultancy Services
CCID CONSULTING COMPANY LIMITED,0.7800HKD,69.68M,-51.55%,Management Consulting Services
CCT FORTIS HOLDINGS LIMITED,0.4400HKD,8.98M,-37.14%,New Car Dealers
CEC INTERNATIONAL HOLDINGS LIMITED,0.1980HKD,16.83M,-15.38%,Other Food Retail & Distribution
CECEP COSTIN NEW MATERIALS GROUP LIMITED,-HKD,0,-,Natural Fabrics
CELESTIAL ASIA SECURITIES HOLDINGS LIMITED,1.240HKD,12.77M,16.98%,Other Home Furnishings Retailers
CENTRAL CHINA MANAGEMENT COMPANY LIMITED,0.1310HKD,64.63M,-19.14%,Other Construction & Engineering
CENTRAL CHINA NEW LIFE LIMITED,0.4200HKD,69.09M,-20.75%,Other Real Estate Services
CENTRAL CHINA REAL ESTATE LIMITED,0.0480HKD,18.62M,-21.31%,Other Real Estate Development & Operations
"CENTRAL CHINA SECURITIES CO., LTD.",1.800HKD,2.25B,-16.67%,Other Investment Banking & Brokerage Services
CENTRAL DEVELOPMENT HOLDINGS LIMITED,0.3900HKD,24.86M,-22.00%,Other Renewable Energy Equipment & Services
CENTRAL NEW ENERGY HOLDING GROUP LIMITED,9.810HKD,5.29B,19.49%,Other Construction & Engineering
CENTURY CITY INTERNATIONAL HOLDINGS LIMITED,0.0720HKD,28.42M,-15.29%,Other Real Estate Development & Operations
CENTURY ENERGY INTERNATIONAL HOLDINGS LIMITED,0.0730HKD,25.1M,-8.75%,Commodity Chemicals Wholesale
CENTURY ENTERTAINMENT INTERNATIONAL HOLDINGS LIMITED,0.7200HKD,11.78M,-.--%,Casinos
CENTURY GINWA RETAIL HOLDINGS LIMITED,0.0810HKD,11.88M,97.56%,Retail - Department Stores
CENTURY GROUP INTERNATIONAL HOLDINGS LIMITED,0.1360HKD,13.97M,112.50%,Petroleum Product Wholesale
CENTURY LEGEND (HOLDINGS) LIMITED,0.0770HKD,3.2M,-28.70%,"Other Hotels, Motels & Cruise Lines"
CENTURY PLAZA HOTEL GROUP,0.0860HKD,6.38M,-25.22%,Security Services
CENTURY SUNSHINE GROUP HOLDINGS LIMITED,0.1700HKD,2.48M,-.--%,Nonferrous Metal Processing
"CF PHARMTECH, INC.",19.57HKD,1.03B,-44.09%,Other Pharmaceuticals
CGN MINING COMPANY LIMITED,3.300HKD,3.2B,6.80%,Other Uranium
"CGN NEW ENERGY HOLDINGS CO., LTD.",2.670HKD,1.46B,7.23%,Other Independent Power Producers
"CGN POWER CO., LTD.",3.110HKD,30.3B,6.14%,Nuclear IPPs
CHAMPION ALLIANCE INTERNATIONAL HOLDINGS LIMITED,0.1840HKD,12.82M,30.50%,Other Paper Products
CHAMPION REAL ESTATE INVESTMENT TRUST,2.430HKD,1.91B,-4.71%,Office REITs
CHAMPION TECHNOLOGY HOLDINGS LIMITED,0.1990HKD,27.88M,14.37%,Other Renewable Energy Equipment & Services
"CHANGAN MINSHENG APLL LOGISTICS CO., LTD.",2.500HKD,64.47M,-35.06%,Freight Logistics
CHANGHONG JIAHUA HOLDINGS LIMITED,0.9500HKD,312M,-16.67%,Consumer Electronic Wholesale
CHANGJIU HOLDINGS LIMITED,3.490HKD,89.91M,-44.95%,Integrated Hardware & Software
CHANGMAO BIOCHEMICAL ENGINEERING COMPANY LIMITED,0.3200HKD,21.63M,12.28%,Other Commodity Chemicals
"CHANGSHA BROAD HOMES INDUSTRIAL GROUP CO., LTD.",0.6000HKD,37.34M,-.--%,Other Construction Materials
CHANGYOU INTERNATIONAL GROUP LIMITED,0.0600HKD,13.87M,15.38%,Other Internet Services
CHANHIGH HOLDINGS LIMITED,0.2220HKD,17.52M,-3.48%,Other Construction & Engineering
CHANJET INFORMATION TECHNOLOGY COMPANY LIMITED,5.500HKD,226M,-31.25%,Enterprise Software
CHAODA MODERN AGRICULTURE (HOLDINGS) LIMITED,0.2460HKD,6.21M,-13.68%,"Vegetable, Fruit & Nut Farming"
CHAOJU EYE CARE HOLDINGS LIMITED,2.710HKD,240M,-1.45%,"Hospitals, Clinics & Primary Care Services"
CHAOWEI POWER HOLDINGS LIMITED,1.680HKD,237M,21.74%,Automotive Batteries
"CHARMACY PHARMACEUTICAL CO., LTD.",5.820HKD,80.22M,-20.16%,Pharmaceuticals Wholesale
CHEERWIN GROUP LIMITED,2.350HKD,400M,7.31%,Other Household Products
CHEN HSONG HOLDINGS LIMITED,1.650HKD,133M,5.10%,Industrial Machinery
CHEN LIN EDUCATION GROUP HOLDINGS LIMITED,1.230HKD,156M,-1.60%,Miscellaneous Educational Service Providers
CHEN XING DEVELOPMENT HOLDINGS LIMITED,0.2070HKD,15.85M,-5.91%,Residential Real Estate Development
"CHENGDU EXPRESSWAY CO., LTD.",1.940HKD,410M,-5.37%,Highway Operators
CHENGDU SIWI SCIENCE AND TECHNOLOGY COMPANY LIMITED,1.280HKD,65.34M,43.82%,Wires & Cables
CHENQI TECHNOLOGY LIMITED,7.800HKD,203M,-15.40%,"Other Passenger Transportation, Ground & Sea"
CHERISH SUNSHINE INTERNATIONAL LIMITED,0.3800HKD,28.73M,8.57%,Diversified Industrial Goods Wholesale
CHERVON HOLDINGS LIMITED,16.41HKD,1.07B,-16.36%,Tools & Housewares
"CHERY AUTOMOBILE CO., LTD.",28.10HKD,20.83B,-8.94%,Automobiles & Multi Utility Vehicles
CHEUK NANG (HOLDINGS) LIMITED,1.290HKD,107M,13.16%,Other Real Estate Development & Operations
CHEVALIER INTERNATIONAL HOLDINGS LIMITED,4.070HKD,156M,-1.93%,Other Construction & Engineering
CHI HO DEVELOPMENT HOLDINGS LIMITED,0.0880HKD,8.98M,104.65%,Residential Builders - Multifamily Homes
CHI KAN HOLDINGS LIMITED,2.310HKD,295M,-2.53%,Other Construction & Engineering
CHIA TAI ENTERPRISES INTERNATIONAL LIMITED,8.440HKD,273M,16.41%,Industrial Machinery & Equipment Wholesale
CHIHO ENVIRONMENTAL GROUP LIMITED,0.4300HKD,88.08M,-.--%,"Waste Management, Disposal & Recycling Services"
CHINA 21ST CENTURY EDUCATION GROUP LIMITED,0.1110HKD,16.17M,-.--%,Professional & Business Education
CHINA 33 MEDIA GROUP LIMITED,1.980HKD,164M,72.17%,Other Advertising & Marketing
CHINA AEROSPACE INTERNATIONAL HOLDINGS LIMITED,0.5700HKD,224M,-5.00%,Electrical Component
CHINA AGRI-PRODUCTS EXCHANGE LIMITED,0.0660HKD,83.83M,-12.00%,Food Markets
CHINA AIRCRAFT LEASING GROUP HOLDINGS LIMITED,3.850HKD,368M,-17.03%,Commercial Leasing
CHINA ALUMINUM CANS HOLDINGS LIMITED,0.7200HKD,86.74M,-1.37%,Metal Containers & Packaging
CHINA ANCHU ENERGY STORAGE GROUP LIMITED,0.3050HKD,139M,-55.15%,Auto & Truck Parts Wholesale
CHINA AOYUAN GROUP LIMITED,0.0550HKD,32.54M,-16.67%,Other Real Estate Development & Operations
CHINA ART FINANCIAL HOLDINGS LIMITED,0.0950HKD,20.5M,-4.04%,Other Consumer Lending
CHINA ASIA VALLEY GROUP LIMITED,0.0500HKD,40.54M,-9.09%,Other Real Estate Services
CHINA AUTOMOTIVE INTERIOR DECORATION HOLDINGS LIMITED,0.4000HKD,22.35M,173.97%,Automotive Accessories
CHINA BAOLI TECHNOLOGIES HOLDINGS LIMITED,0.5100HKD,21.45M,39.73%,Other Advertising & Marketing
CHINA BEIDAHUANG INDUSTRY GROUP HOLDINGS LIMITED,0.0450HKD,46.16M,-43.75%,Other Food Retail & Distribution
CHINA BESTSTUDY EDUCATION GROUP,3.300HKD,312M,-17.29%,Miscellaneous Educational Service Providers
CHINA BIOTECH SERVICES HOLDINGS LIMITED,0.5600HKD,69.73M,-29.11%,Other Healthcare Facilities & Services
CHINA BLUECHEMICAL LTD.,2.460HKD,1.45B,1.65%,Other Agricultural Chemicals
"CHINA BOHAI BANK CO., LTD.",0.8500HKD,1.93B,-10.53%,Commercial Banks
"CHINA BOQI ENVIRONMENTAL (HOLDING) CO., LTD.",0.9500HKD,104M,-5.00%,Civil Engineers & Architects
CHINA BOTON GROUP COMPANY LIMITED,1.200HKD,165M,-30.64%,Other Personal Products
CHINA BRILLIANT GLOBAL LIMITED,0.3450HKD,67.56M,-17.86%,Other Apparel & Accessories
CHINA CARBON NEUTRAL DEVELOPMENT GROUP LIMITED,1.150HKD,129M,-25.81%,Other Construction & Engineering
CHINA CASTSON 81 FINANCE COMPANY LIMITED,0.1180HKD,10.73M,-4.84%,Other Holding Companies
CHINA CBM GROUP COMPANY LIMITED,0.3500HKD,17.44M,11.11%,Other Oil & Gas Exploration and Production
CHINA CHANGBAISHAN INTERNATIONAL HOLDINGS LIMITED,0.5400HKD,24.82M,-25.00%,Other Real Estate Development & Operations
CHINA CHENGTONG DEVELOPMENT GROUP LIMITED,0.1400HKD,107M,14.75%,Metal Merchant Wholesale
"CHINA CHUNLAI EDUCATION GROUP CO., LTD.",1.210HKD,185M,-65.92%,Miscellaneous Educational Service Providers
"CHINA CINDA ASSET MANAGEMENT CO., LTD.",1.070HKD,5.21B,-16.41%,Other Investment Management & Fund Operators
"CHINA CITIC FINANCIAL ASSET MANAGEMENT CO., LTD.",0.6300HKD,6.45B,-24.10%,Investment Management
CHINA CITY INFRASTRUCTURE GROUP LIMITED,0.0930HKD,37.13M,43.08%,Other Real Estate Development & Operations
CHINA COAL ENERGY COMPANY LIMITED,12.20HKD,27.37B,22.61%,Other Coal
CHINA COME RIDE NEW ENERGY GROUP LIMITED,0.1510HKD,9.5M,-.--%,Civil Engineers & Architects
CHINA COMMUNICATIONS CONSTRUCTION COMPANY LIMITED,4.360HKD,13.41B,-14.51%,Other Construction & Engineering
CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED,4.260HKD,3.77B,-4.91%,Telecommunication Construction
CHINA CONCH ENVIRONMENT PROTECTION HOLDINGS LIMITED,0.4400HKD,103M,-21.43%,"Waste Management, Disposal & Recycling Services"
CHINA CONCH VENTURE HOLDINGS LIMITED,10.58HKD,2.42B,12.55%,"Waste Management, Disposal & Recycling Services"
CHINA CONSTRUCTION BANK CORPORATION,8.770HKD,301B,14.04%,Other Banks
CHINA CULTURAL TOURISM AND AGRICULTURE GROUP LIMITED,0.9000HKD,176M,12.50%,Other Real Estate Development & Operations
"CHINA DATANG CORPORATION RENEWABLE POWER CO., LIMITED",1.670HKD,1.55B,-18.93%,Renewable IPPs
CHINA DAYE NON-FERROUS METALS MINING LIMITED,0.1060HKD,242M,2.91%,Nonferrous Metal Processing
CHINA DEMETER FINANCIAL INVESTMENTS LIMITED,2.300HKD,47.73M,342.31%,Commercial Food Services
"CHINA DEVELOPMENT BANK FINANCIAL LEASING CO., LTD.",1.570HKD,2.53B,-8.72%,Commercial Leasing
CHINA DEVELOPMENT BANK INTERNATIONAL INVESTMENT LIMITED,0.0960HKD,35.56M,1.05%,Other Investment Management & Fund Operators
CHINA DIGITAL VIDEO HOLDINGS LIMITED,0.0930HKD,7.34M,34.78%,Other Software
CHINA DISPLAY OPTOELECTRONICS TECHNOLOGY HOLDINGS LIMITED,0.4300HKD,115M,36.51%,Display Screens
"CHINA DONGXIANG (GROUP) CO., LTD.",0.4200HKD,315M,-4.55%,Apparel Wholesale
CHINA DREDGING ENVIRONMENT PROTECTION HOLDINGS LIMITED,0.0620HKD,11.9M,-8.82%,Other Construction & Engineering
CHINA E-WALLET PAYMENT GROUP LIMITED,0.0450HKD,3.47M,-.--%,Other Software
CHINA EAST EDUCATION HOLDINGS LIMITED,4.970HKD,1.41B,-25.15%,Professional & Business Education
CHINA ECOTOURISM GROUP LIMITED,0.1610HKD,3.17M,-29.39%,Other Casinos & Gaming
CHINA EDUCATION GROUP HOLDINGS LIMITED,2.010HKD,718M,-35.16%,"School, College & University (NEC)"
CHINA ELECTRONICS HUADA TECHNOLOGY COMPANY LIMITED,1.130HKD,293M,-12.40%,Integrated Circuits
CHINA ELECTRONICS OPTICS VALLEY UNION HOLDING COMPANY LIMITED,0.1900HKD,176M,-11.63%,Industrial Real Estate Development
CHINA ENERGY DEVELOPMENT HOLDINGS LIMITED,1.410HKD,82.09M,-9.03%,Other Oil & Gas Exploration and Production
CHINA ENERGY ENGINEERING CORPORATION LIMITED,1.280HKD,16.9B,20.75%,Electric Construction
CHINA ENERGY STORAGE TECHNOLOGY DEVELOPMENT LIMITED,0.3300HKD,9.45M,-13.16%,Other Electrical Components & Equipment
CHINA ENVIRONMENTAL RESOURCES GROUP LIMITED,0.6400HKD,45.97M,16.36%,Other Agricultural Chemicals
CHINA ENVIRONMENTAL TECHNOLOGY AND BIOENERGY HOLDINGS LIMITED,0.8800HKD,10.79M,-12.00%,Furniture
CHINA ENVIRONMENTAL TECHNOLOGY HOLDINGS LIMITED,0.1200HKD,5.25M,-25.93%,Water & Sewage Construction
"CHINA EVER GRAND FINANCIAL LEASING GROUP CO., LTD.",0.1320HKD,28.42M,76.00%,"Other Medical Equipment, Supplies & Distribution"
CHINA EVERBRIGHT ENVIRONMENT GROUP LIMITED,5.610HKD,4.4B,16.39%,Other Multiline Utilities
CHINA EVERBRIGHT GREENTECH LIMITED,0.8700HKD,229M,-14.71%,Other Construction & Engineering
CHINA EVERBRIGHT LIMITED,6.820HKD,1.47B,-24.31%,Other Investment Management & Fund Operators
CHINA EVERGRANDE NEW ENERGY VEHICLE GROUP LIMITED,0.1700HKD,235M,-.--%,Electric (Alternative) Vehicles
CHINA FEIHE LIMITED,3.110HKD,3.5B,-23.40%,Dairy Products
CHINA FINANCIAL INTERNATIONAL INVESTMENTS LIMITED,0.0610HKD,85.41M,17.31%,Other Holding Companies
CHINA FINANCIAL SERVICES HOLDINGS LIMITED,0.8000HKD,21.37M,-2.44%,Commercial Loans
CHINA FIRST CAPITAL GROUP LIMITED,0.0380HKD,8.96M,-28.30%,"Other Auto, Truck & Motorcycle Parts"
CHINA FOODS LIMITED,3.520HKD,1.26B,-18.89%,Other Non-Alcoholic Beverages
CHINA FORTUNE HOLDINGS LIMITED,0.4400HKD,14.24M,100.00%,Phones & Smart Phones
CHINA FRONTIER TECHNOLOGY GROUP,2.520HKD,61.2M,211.11%,Media Buying Agency
"CHINA GALAXY SECURITIES CO., LTD.",7.860HKD,16.63B,-21.64%,Brokerage Services
CHINA GAS HOLDINGS LIMITED,7.440HKD,5.17B,-3.12%,Other Natural Gas Utilities
CHINA GAS INDUSTRY INVESTMENT HOLDINGS CO. LTD.,1.210HKD,185M,34.44%,Industrial Gas
CHINA GENERAL EDUCATION GROUP LIMITED,3.250HKD,210M,0.93%,Universities
CHINA GINGKO EDUCATION GROUP COMPANY LIMITED,6.410HKD,409M,102.21%,Hotels & Motels
CHINA GLASS HOLDINGS LIMITED,0.4300HKD,101M,-20.37%,Glass
CHINA GOLDEN CLASSIC GROUP LIMITED,0.2650HKD,33.82M,165.00%,Cleaning Supplies
CHINA GRAPHITE GROUP LIMITED,0.2800HKD,57.17M,-23.29%,Other Specialty Mining & Metals
CHINA GREEN BROAD ECOLOGICAL TECHNOLOGY COMPANY LIMITED,0.1330HKD,10.25M,-36.67%,Other Construction & Engineering
CHINA HARMONY AUTO HOLDING LIMITED,0.8400HKD,163M,-17.65%,New Car Dealers
CHINA HEALTH GROUP INC.,0.1250HKD,15.88M,-14.38%,Other Biotechnology & Medical Research
CHINA HEALTH GROUP LIMITED,0.5100HKD,90.28M,-32.89%,Medical Equipment Wholesale
CHINA HEALTH TECHNOLOGY GROUP HOLDING COMPANY LIMITED,0.3000HKD,3.94M,-26.83%,"Vegetable, Fruit & Nut Farming"
CHINA HEALTHWISE HOLDINGS LIMITED,0.0650HKD,6.39M,-52.21%,Other Consumer Lending
CHINA HIGH PRECISION AUTOMATION GROUP LIMITED,0.2460HKD,32.57M,-21.90%,Other Industrial Machinery & Equipment
"CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP CO., LTD.",1.950HKD,407M,19.63%,Wind Systems & Equipment
CHINA HK POWER SMART ENERGY GROUP LIMITED,0.3500HKD,332M,-27.08%,Other Oil & Gas Refining and Marketing
CHINA HONGBAO HOLDINGS LIMITED,0.1780HKD,21.66M,-1.11%,Building Contractors
CHINA HONGGUANG HOLDINGS LIMITED,0.2550HKD,25.48M,40.11%,Construction Supplies
CHINA HONGQIAO GROUP LIMITED,29.62HKD,37.28B,-9.20%,Primary Aluminum Production
CHINA HUAJUN GROUP LIMITED,1.280HKD,10.05M,40.66%,Commodity Chemicals Wholesale
CHINA HUARONG ENERGY COMPANY LIMITED,0.0200HKD,12.18M,-.--%,Petroleum Product Wholesale
CHINA HUIRONG FINANCIAL HOLDINGS LIMITED,0.5600HKD,77.92M,0.00%,Other Consumer Lending
CHINA IN-TECH LIMITED,0.5800HKD,55.98M,-60.27%,Household Appliances
CHINA INDUSTRIAL SECURITIES INTERNATIONAL FINANCIAL GROUP LIMITED,0.6000HKD,306M,21.21%,Other Investment Banking & Brokerage Services
CHINA INFORMATION TECHNOLOGY DEVELOPMENT LIMITED,0.2110HKD,3.09M,-23.27%,Other IT Services & Consulting
CHINA INFRASTRUCTURE & LOGISTICS GROUP LTD.,0.2900HKD,63.84M,-12.12%,Other Marine Port Services
CHINA INNOVATION INVESTMENT LIMITED,0.0110HKD,17.97M,-15.38%,Investment Management
CHINA INTERNATIONAL CAPITAL CORPORATION LIMITED,19.96HKD,19.34B,1.99%,Other Investment Banking & Brokerage Services
CHINA INTERNATIONAL DEVELOPMENT CORPORATION LIMITED,1.820HKD,110M,-24.17%,Leather Goods
CHINA INVESTMENT AND FINANCE GROUP LIMITED,0.9100HKD,47.92M,21.33%,Other Investment Banking & Brokerage Services
CHINA INVESTMENT FINANCIAL TECHNOLOGY GROUP LIMITED,0.8700HKD,31.1M,-29.84%,Brokerage Services
CHINA ISOTOPE & RADIATION CORPORATION,18.07HKD,738M,-10.54%,Diagnostic & Testing Substances
"CHINA ITS (HOLDINGS) CO., LTD.",0.2410HKD,52.91M,-3.60%,Technology Consulting & Outsourcing Services
CHINA JINMAO HOLDINGS GROUP LIMITED,1.670HKD,2.88B,38.02%,Other Real Estate Development & Operations
CHINA KEPEI EDUCATION GROUP LIMITED,0.9500HKD,244M,-29.63%,Miscellaneous Educational Service Providers
CHINA KINGSTONE MINING HOLDINGS LIMITED,0.6000HKD,38.37M,-13.04%,Rock Mining
CHINA LEON INSPECTION HOLDING LIMITED,1.400HKD,104M,-36.07%,Testing Laboratories
CHINA LESSO GROUP HOLDINGS LIMITED,4.530HKD,1.79B,-2.37%,Plumbing Fixtures & Fittings
CHINA LIFE INSURANCE COMPANY LIMITED,28.92HKD,131B,5.62%,Life Insurance
CHINA LILANG LIMITED,3.550HKD,543M,5.97%,Men's Clothing
CHINA LITERATURE LIMITED,22.90HKD,2.99B,-30.56%,Digital Publishing
CHINA LONGEVITY GROUP COMPANY LIMITED,1.370HKD,0,-,Synthetic Fabrics
CHINA LONGYUAN POWER GROUP CORPORATION LIMITED,6.370HKD,15.39B,-4.07%,Wind Electric Utilities
CHINA LUDAO TECHNOLOGY COMPANY LIMITED,0.7900HKD,49.58M,-1.25%,Other Specialty Chemicals
CHINA MAPLE LEAF EDUCATIONAL SYSTEMS LIMITED,0.1980HKD,71.86M,-49.23%,"School, College & University (NEC)"
CHINA MEDICAL SYSTEM HOLDINGS LIMITED,10.99HKD,3.39B,-14.81%,Other Pharmaceuticals
CHINA MEIDONG AUTO HOLDINGS LIMITED,0.7600HKD,131M,-40.16%,New Car Dealers
CHINA MENGNIU DAIRY COMPANY LIMITED,16.73HKD,8.28B,12.21%,Dairy Products
CHINA MERCHANTS CHINA DIRECT INVESTMENTS LIMITED,23.62HKD,459M,53.88%,Other Investment Management & Fund Operators
CHINA MERCHANTS COMMERCIAL REAL ESTATE INVESTMENT TRUST,1.110HKD,160M,-10.48%,Other Commercial REITs
CHINA MERCHANTS LAND LIMITED,0.2800HKD,175M,3.70%,Other Real Estate Development & Operations
CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,15.73HKD,8.43B,3.90%,Other Marine Port Services
CHINA METAL RESOURCES UTILIZATION LIMITED,0.3100HKD,17.73M,-27.91%,Other Specialty Mining & Metals
CHINA MOBILE LIMITED,85.50HKD,239B,4.65%,Other Integrated Telecommunications Services
CHINA MODERN DAIRY HOLDINGS LTD.,1.140HKD,1.15B,-29.63%,Beef & Veal Farming
"CHINA MOTOR BUS COMPANY, LIMITED",58.85HKD,340M,-1.09%,Other Real Estate Development & Operations
CHINA NATIONAL BUILDING MATERIAL COMPANY LIMITED,5.100HKD,4.94B,-0.39%,Other Construction Materials
CHINA NATIONAL CULTURE GROUP LIMITED,3.880HKD,116M,438.89%,Other Construction & Engineering
CHINA NATURE ENERGY TECHNOLOGY HOLDINGS LIMITED,5.200HKD,166M,108.00%,Other Electrical Components & Equipment
CHINA NETCOM TECHNOLOGY HOLDINGS LIMITED,0.0120HKD,7.18M,-47.83%,Other IT Services & Consulting
CHINA NEW CITY GROUP LIMITED,0.7600HKD,188M,26.67%,Hotels & Motels
CHINA NEW CONSUMPTION GROUP LIMITED,0.0950HKD,12.37M,-19.49%,Other Construction & Engineering
CHINA NEW ENERGY LIMITED,0.2230HKD,16.71M,23.20%,Industrial Machinery
CHINA NEW HIGHER EDUCATION GROUP LIMITED,0.6200HKD,164M,-34.74%,Colleges & Secondary Schools
CHINA NEW HOLDINGS LIMITED,0.5700HKD,15.76M,-3.39%,Residential Architectural & Interior Design Services
CHINA NEW TOWN DEVELOPMENT COMPANY LIMITED,0.0790HKD,99.3M,-1.25%,Other Real Estate Development & Operations
CHINA NEXT-GEN COMMERCE AND SUPPLY CHAIN LIMITED,19.00HKD,1.18B,97.71%,Other Construction & Engineering
CHINA NONFERROUS MINING CORPORATION LIMITED,14.63HKD,7.02B,-0.81%,Nonferrous Metal Processing
CHINA NT PHARMA GROUP COMPANY LIMITED,0.6000HKD,72.67M,-26.83%,Other Pharmaceuticals
CHINA NUCLEAR ENERGY TECHNOLOGY CORPORATION LIMITED,0.5000HKD,118M,-7.41%,Electric Construction
CHINA OCEAN GROUP DEVELOPMENT LIMITED,0.0250HKD,22.6M,-.--%,Freight Logistics
CHINA OIL AND GAS GROUP LIMITED,0.1520HKD,112M,-3.18%,Natural Gas Distribution
CHINA OILFIELD SERVICES LIMITED,8.290HKD,7.91B,18.88%,Other Oil & Gas Drilling
CHINA ORAL INDUSTRY GROUP HOLDINGS LIMITED,0.0500HKD,10.68M,-19.35%,Doctor's Office
CHINA ORIENTAL GROUP COMPANY LIMITED,1.280HKD,613M,-2.29%,"Iron, Steel Mills & Foundries"
CHINA ORIENTED INTERNATIONAL HOLDINGS LIMITED,0.3850HKD,21.42M,48.08%,Miscellaneous Educational Service Providers
CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,2.870HKD,1.29B,44.95%,Other Real Estate Development & Operations
CHINA OVERSEAS LAND & INVESTMENT LIMITED,15.58HKD,21.87B,27.18%,Other Real Estate Development & Operations
CHINA OVERSEAS PROPERTY HOLDINGS LIMITED,3.820HKD,1.59B,-15.49%,Other Real Estate Services
CHINA PARENTING NETWORK HOLDINGS LIMITED,0.4300HKD,2.63M,-28.33%,E-commerce & Auction Services
CHINA PARTYTIME CULTURE HOLDINGS LIMITED,0.1410HKD,32.52M,39.60%,Other Home Furnishings
CHINA PENGFEI GROUP LIMITED,1.310HKD,83.59M,5.65%,Industrial Machinery
CHINA PETROLEUM & CHEMICAL CORPORATION,4.430HKD,84.34B,-5.14%,Other Oil & Gas Refining and Marketing
CHINA PIPE GROUP LIMITED,0.1290HKD,22.61M,-16.23%,Construction Supplies & Fixtures Wholesale
CHINA POWER INTERNATIONAL DEVELOPMENT LIMITED,3.540HKD,5.53B,9.60%,Fossil Fuel Electric Utilities
CHINA PRIMARY ENERGY HOLDINGS LIMITED,0.0600HKD,8.62M,-29.41%,Natural Gas Distribution
CHINA PROPERTIES INVESTMENT HOLDINGS LIMITED,0.3000HKD,12.48M,-55.88%,Other Consumer Lending
CHINA QIDIAN GUOFENG HOLDINGS LIMITED,1.700HKD,456M,-48.17%,Retail - Department Stores
CHINA QINFA GROUP LIMITED,1.970HKD,671M,-26.77%,Other Coal
CHINA RAILWAY SIGNAL & COMMUNICATION CORPORATION LIMITED,3.430HKD,7.03B,3.00%,Testing & Measuring Equipment
CHINA RARE EARTH HOLDINGS LIMITED,0.7000HKD,249M,-.--%,Other Commodity Chemicals
CHINA REGENERATIVE MEDICINE INTERNATIONAL LIMITED,0.3500HKD,14.17M,-16.67%,"Other Medical Equipment, Supplies & Distribution"
